Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2013,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2014,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2015,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2016,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,15,Percentage of all claims,Final
2017,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,14,Percentage of all claims,Final
2018,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,14,Percentage of all claims,Provisional
2002,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2003,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2004,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2005,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,10,Percentage of all claims,Final
2006,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,10,Percentage of all claims,Final
2007,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,10,Percentage of all claims,Final
2008,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,10,Percentage of all claims,Final
2009,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2010,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2011,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2012,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Final
2013,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,8,Percentage of all claims,Final
2014,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,8,Percentage of all claims,Final
2015,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,8,Percentage of all claims,Final
2016,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,8,Percentage of all claims,Final
2017,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,8,Percentage of all claims,Final
2018,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,9,Percentage of all claims,Provisional
2002,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2003,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2004,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2005,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2006,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2007,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2008,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2009,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2010,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2011,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2012,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2013,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2014,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2015,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2016,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2017,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2018,Total,Total,Other,Total,Total,Total,Total,Total,Total,0,Percentage of all claims,Provisional
2002,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,3,Percentage of all claims,Final
2003,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,2,Percentage of all claims,Final
2004,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,2,Percentage of all claims,Final
2005,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2006,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2007,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2008,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2009,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2010,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2011,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2012,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2013,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2014,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2015,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2016,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2017,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2018,Total,Total,Not specified,Total,Total,Total,Total,Total,Total,1,Percentage of all claims,Provisional
2002,Total,Total,Total,Employee,Total,Total,Total,Total,Total,81,Percentage of all claims,Final
2003,Total,Total,Total,Employee,Total,Total,Total,Total,Total,81,Percentage of all claims,Final
2004,Total,Total,Total,Employee,Total,Total,Total,Total,Total,82,Percentage of all claims,Final
2005,Total,Total,Total,Employee,Total,Total,Total,Total,Total,83,Percentage of all claims,Final
2006,Total,Total,Total,Employee,Total,Total,Total,Total,Total,83,Percentage of all claims,Final
2007,Total,Total,Total,Employee,Total,Total,Total,Total,Total,84,Percentage of all claims,Final
2008,Total,Total,Total,Employee,Total,Total,Total,Total,Total,84,Percentage of all claims,Final
2009,Total,Total,Total,Employee,Total,Total,Total,Total,Total,82,Percentage of all claims,Final
2010,Total,Total,Total,Employee,Total,Total,Total,Total,Total,83,Percentage of all claims,Final
2011,Total,Total,Total,Employee,Total,Total,Total,Total,Total,84,Percentage of all claims,Final
2012,Total,Total,Total,Employee,Total,Total,Total,Total,Total,86,Percentage of all claims,Final
2013,Total,Total,Total,Employee,Total,Total,Total,Total,Total,86,Percentage of all claims,Final
2014,Total,Total,Total,Employee,Total,Total,Total,Total,Total,86,Percentage of all claims,Final
2015,Total,Total,Total,Employee,Total,Total,Total,Total,Total,86,Percentage of all claims,Final
2016,Total,Total,Total,Employee,Total,Total,Total,Total,Total,87,Percentage of all claims,Final
2017,Total,Total,Total,Employee,Total,Total,Total,Total,Total,87,Percentage of all claims,Final
2018,Total,Total,Total,Employee,Total,Total,Total,Total,Total,87,Percentage of all claims,Provisional
2002,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,19,Percentage of all claims,Final
2003,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,19,Percentage of all claims,Final
2004,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,18,Percentage of all claims,Final
2005,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,17,Percentage of all claims,Final
2006,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,17,Percentage of all claims,Final
2007,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2008,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2009,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,17,Percentage of all claims,Final
2010,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2011,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,16,Percentage of all claims,Final
2012,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,14,Percentage of all claims,Final
2013,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,14,Percentage of all claims,Final
2014,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,14,Percentage of all claims,Final
2015,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,14,Percentage of all claims,Final
2016,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,13,Percentage of all claims,Final
2017,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,13,Percentage of all claims,Final
2018,Total,Total,Total,Self-employed,Total,Total,Total,Total,Total,14,Percentage of all claims,Provisional
2002,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2003,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2004,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2005,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2006,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2007,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2008,Total,Total,Total,Other,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2009,Total,Total,Total,Other,Total,Total,Total,Total,Total,1,Percentage of all claims,Final
2010,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2011,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2012,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2013,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2014,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2015,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2016,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2017,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Final
2018,Total,Total,Total,Other,Total,Total,Total,Total,Total,0,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,7,Percentage of all claims,Final
2003,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2004,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2005,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,5,Percentage of all claims,Final
2006,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,5,Percentage of all claims,Final
2007,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,5,Percentage of all claims,Final
2008,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,5,Percentage of all claims,Final
2009,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2010,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2011,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2012,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2013,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2015,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2016,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2017,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Final
2018,Total,Total,Total,Total,Legislators administrators and managers,Total,Total,Total,Total,6,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2003,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2004,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2005,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2006,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2007,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2008,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2009,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2010,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2011,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2012,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2014,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2015,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2016,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2017,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2018,Total,Total,Total,Total,Professionals,Total,Total,Total,Total,7,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2003,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2004,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2005,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2006,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2007,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,6,Percentage of all claims,Final
2008,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2009,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,7,Percentage of all claims,Final
2010,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2011,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2012,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2013,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2014,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2015,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2016,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2017,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,8,Percentage of all claims,Final
2018,Total,Total,Total,Total,Technicians and associate professionals,Total,Total,Total,Total,7,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2003,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2004,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2005,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2006,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2007,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2008,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2009,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2010,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,4,Percentage of all claims,Final
2011,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2013,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2014,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2015,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2016,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2017,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Final
2018,Total,Total,Total,Total,Clerks,Total,Total,Total,Total,3,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,10,Percentage of all claims,Final
2003,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2004,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,10,Percentage of all claims,Final
2005,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2006,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2007,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2008,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2009,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2010,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2011,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2012,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2013,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2014,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2015,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Final
2016,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,13,Percentage of all claims,Final
2017,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,11,Percentage of all claims,Final
2018,Total,Total,Total,Total,Service and sales workers,Total,Total,Total,Total,12,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2003,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2004,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2005,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2006,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2007,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2008,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2009,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,16,Percentage of all claims,Final
2010,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,16,Percentage of all claims,Final
2011,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2012,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2013,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2014,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2015,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,14,Percentage of all claims,Final
2016,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,14,Percentage of all claims,Final
2017,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,13,Percentage of all claims,Final
2018,Total,Total,Total,Total,Agriculture and fishery workers,Total,Total,Total,Total,13,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,13,Percentage of all claims,Final
2003,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,15,Percentage of all claims,Final
2004,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,16,Percentage of all claims,Final
2005,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,17,Percentage of all claims,Final
2006,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,17,Percentage of all claims,Final
2007,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,19,Percentage of all claims,Final
2008,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2009,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2010,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2011,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,17,Percentage of all claims,Final
2012,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,17,Percentage of all claims,Final
2013,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2014,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2015,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2016,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2017,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Final
2018,Total,Total,Total,Total,Trades workers,Total,Total,Total,Total,18,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,17,Percentage of all claims,Final
2003,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,18,Percentage of all claims,Final
2004,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,18,Percentage of all claims,Final
2005,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,19,Percentage of all claims,Final
2006,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,18,Percentage of all claims,Final
2007,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,17,Percentage of all claims,Final
2008,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,16,Percentage of all claims,Final
2009,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,15,Percentage of all claims,Final
2010,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2011,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2012,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2013,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2014,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2015,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2016,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2017,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,14,Percentage of all claims,Final
2018,Total,Total,Total,Total,Plant and machine operators and assemblers,Total,Total,Total,Total,15,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,14,Percentage of all claims,Final
2003,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,13,Percentage of all claims,Final
2004,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,13,Percentage of all claims,Final
2005,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,13,Percentage of all claims,Final
2006,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,12,Percentage of all claims,Final
2007,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,12,Percentage of all claims,Final
2008,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2009,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,10,Percentage of all claims,Final
2010,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,10,Percentage of all claims,Final
2011,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,10,Percentage of all claims,Final
2012,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,10,Percentage of all claims,Final
2013,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2014,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2015,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2016,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2017,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,11,Percentage of all claims,Final
2018,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,10,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2003,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,6,Percentage of all claims,Final
2004,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,5,Percentage of all claims,Final
2005,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,5,Percentage of all claims,Final
2006,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,4,Percentage of all claims,Final
2007,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,6,Percentage of all claims,Final
2008,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2009,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,8,Percentage of all claims,Final
2010,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,8,Percentage of all claims,Final
2011,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2012,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2014,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2015,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,7,Percentage of all claims,Final
2016,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,8,Percentage of all claims,Final
2017,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,8,Percentage of all claims,Final
2018,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,9,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,53.2,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,54.5,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,55.2,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,56.1,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,57,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,57.7,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,58.5,Percentage of all claims,Final
